[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:03] Speech error: run loop already started
[2025-05-30 16:22:05] Speech error: run loop already started
[2025-05-30 16:22:05] Speech error: run loop already started
[2025-05-30 16:22:05] Speech error: run loop already started
[2025-05-30 16:22:06] Speech error: run loop already started
[2025-05-30 16:22:06] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
[2025-05-30 16:22:08] Speech error: run loop already started
[2025-05-30 16:22:10] Speech error: run loop already started
[2025-05-30 16:22:12] Speech error: run loop already started
[2025-05-30 16:22:12] Speech error: run loop already started
[2025-05-30 16:22:12] Speech error: run loop already started
[2025-05-30 16:22:12] Speech error: run loop already started
[2025-05-30 16:22:12] Speech error: run loop already started
[2025-05-30 16:22:13] Speech error: run loop already started
[2025-05-30 16:22:13] Speech error: run loop already started
[2025-05-30 16:22:13] Speech error: run loop already started
[2025-05-30 16:22:13] Speech error: run loop already started
[2025-05-30 16:22:14] Speech error: run loop already started
[2025-05-30 16:22:14] Speech error: run loop already started
[2025-05-30 16:22:15] Speech error: run loop already started
[2025-05-30 16:22:15] Speech error: run loop already started
[2025-05-30 16:22:16] Speech error: run loop already started
[2025-05-30 16:22:16] Speech error: run loop already started
[2025-05-30 16:22:16] Speech error: run loop already started
[2025-05-30 16:22:17] Speech error: run loop already started
[2025-05-30 16:22:17] Speech error: run loop already started
[2025-05-30 16:22:17] Speech error: run loop already started
[2025-05-30 16:22:18] Speech error: run loop already started
[2025-05-30 16:22:18] Speech error: run loop already started
[2025-05-30 16:22:18] Speech error: run loop already started
[2025-05-30 16:22:18] Speech error: run loop already started
[2025-05-30 16:22:19] Speech error: run loop already started
[2025-05-30 16:22:19] Speech error: run loop already started
[2025-05-30 16:22:19] Speech error: run loop already started
[2025-05-30 16:22:19] Speech error: run loop already started
[2025-05-30 16:22:20] Speech error: run loop already started
[2025-05-30 16:22:20] Speech error: run loop already started
[2025-05-30 16:22:20] Speech error: run loop already started
[2025-05-30 16:22:20] Speech error: run loop already started
[2025-05-30 16:22:20] Speech error: run loop already started
[2025-05-30 16:22:21] Speech error: run loop already started
[2025-05-30 16:22:21] Speech error: run loop already started
[2025-05-30 16:22:22] Speech error: run loop already started
[2025-05-30 16:22:24] Speech error: run loop already started
[2025-05-30 16:22:24] Speech error: run loop already started
[2025-05-30 16:22:24] Speech error: run loop already started
[2025-05-30 16:22:24] Mode changed to: Object Detection
[2025-05-30 16:22:24] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:25] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:26] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:27] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:28] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:29] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:30] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:31] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:32] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:33] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
